Khu vực,Năm,Tỷ suất nhập cư,Tỷ suất xuất cư,Tỷ suất di cư thuần
Huế,2023,8.3,2.74,5.56
Huế,2024,4.22,7.27,-3.05
Hà Giang,2019,1,4.8,-3.7
Hà Giang,2020,0.71,5.44,-4.73
Hà Giang,2021,0.32,7.89,-7.57
Hà Giang,2022,0.51,10.78,-10.27
Hà Giang,2023,0.21,9.86,-9.65
Hà Giang,2024,2.68,7.58,-4.9
Hà Nam,2019,3.3,6.7,-3.4
Hà Nam,2020,6.4,4.81,1.59
Hà Nam,2021,3.01,4.52,-1.51
Hà Nam,2022,1.5,2.94,-1.44
Hà Nam,2023,1.88,3.14,-1.26
Hà Nam,2024,7.15,7.36,-0.21
Hà Nội,2019,8.8,2.5,6.3
Hà Nội,2020,6.26,2.53,3.73
Hà Nội,2021,7.68,1.75,5.93
Hà Nội,2022,4.79,2.84,1.95
Hà Nội,2023,5.85,1.96,3.89
Hà Nội,2024,5.91,4.47,1.44
Hà Tĩnh,2019,2.5,8.1,-5.6
Hà Tĩnh,2020,1.29,6.75,-5.46
Hà Tĩnh,2021,2.74,7.93,-5.19
Hà Tĩnh,2022,2.14,5.51,-3.36
Hà Tĩnh,2023,2.6,6.53,-3.93
Hà Tĩnh,2024,4.89,5.77,-0.87
Hòa Bình,2019,1.6,7,-5.4
Hòa Bình,2020,0.75,12.07,-11.32
Hòa Bình,2021,2,12.35,-10.4
Hòa Bình,2022,1.49,7.26,-5.77
Hòa Bình,2023,0.99,9.95,-8.96
Hòa Bình,2024,3.97,5.65,-1.68
Hưng Yên,2019,4.5,5,-0.5
Hưng Yên,2020,8.65,4.58,4.07
Hưng Yên,2021,3.64,3.7,-0.07
Hưng Yên,2022,3.49,1.24,2.26
Hưng Yên,2023,3.34,1.8,1.54
Hưng Yên,2024,6.88,5.16,1.73
Hải Dương,2019,2.5,4.7,-2.3
Hải Dương,2020,2.46,2.96,-0.5
Hải Dương,2021,1.01,3.03,-2.02
Hải Dương,2022,1.86,4.8,-2.94
Hải Dương,2023,1.92,2.01,-0.1
Hải Dương,2024,3.36,3.86,-0.5
Hải Phòng,2019,2.7,2.7,0
Hải Phòng,2020,2.55,1.49,1.06
Hải Phòng,2021,5.93,2.03,3.9
Hải Phòng,2022,2.53,1.08,1.45
Hải Phòng,2023,2.8,1.34,1.46
Hải Phòng,2024,4.67,2.53,2.15
Hậu Giang,2019,2.3,14.6,-12.2
Hậu Giang,2020,1.32,25.08,-23.76
Hậu Giang,2021,1.08,18.81,-17.73
Hậu Giang,2022,5.8,7.79,-1.99
Hậu Giang,2023,1.45,9.89,-8.43
Hậu Giang,2024,1.6,12.89,-11.29
Khánh Hòa,2019,1.9,3.9,-1.9
Khánh Hòa,2020,1.05,2.55,-1.5
Khánh Hòa,2021,0.67,2.69,-2.02
Khánh Hòa,2022,0.79,3.94,-3.15
Khánh Hòa,2023,0.3,1.39,-1.09
Khánh Hòa,2024,1.93,4.53,-2.6
Kiên Giang,2019,2.8,11.3,-8.5
Kiên Giang,2020,1.34,12.48,-11.14
Kiên Giang,2021,1.46,16.86,-15.4
Kiên Giang,2022,2.36,4.48,-2.12
Kiên Giang,2023,1.15,8.16,-7.02
Kiên Giang,2024,3.56,9.8,-6.24
Kon Tum,2019,2.7,4.1,-1.4
Kon Tum,2020,1.01,9.27,-8.26
Kon Tum,2021,1.4,5.84,-4.43
Kon Tum,2022,0.59,2.15,-1.56
Kon Tum,2023,0.54,1.48,-0.94
Kon Tum,2024,2.46,4.96,-2.5
Lai Châu,2019,2.9,2.8,0.1
Lai Châu,2020,0.94,4.47,-3.53
Lai Châu,2021,0.81,3.87,-3.06
Lai Châu,2022,0.86,5.58,-4.72
Lai Châu,2023,0.91,2.24,-1.32
Lai Châu,2024,1.95,6.78,-4.84
Long An,2019,9.5,6,3.5
Long An,2020,9.14,8.02,1.12
Long An,2021,8.67,6.54,2.13
Long An,2022,6.13,4.42,1.71
Long An,2023,7.47,5.66,1.81
Long An,2024,9.42,4.83,4.59
Lào Cai,2019,2.2,3.7,-1.5
Lào Cai,2020,0.82,3.26,-2.44
Lào Cai,2021,0.69,6.75,-6.06
Lào Cai,2022,0.64,6.4,-5.76
Lào Cai,2023,0.47,3.34,-2.87
Lào Cai,2024,1.22,6.13,-4.91
Lâm Đồng,2019,3.8,5.6,-1.8
Lâm Đồng,2020,4.44,6.04,-1.6
Lâm Đồng,2021,2.07,1.99,0.09
Lâm Đồng,2022,1.81,2.51,-0.7
Lâm Đồng,2023,1.82,2.94,-1.12
Lâm Đồng,2024,4.32,3.93,0.39
Lạng Sơn,2019,1.3,8.7,-7.3
Lạng Sơn,2020,1.69,13.05,-11.36
Lạng Sơn,2021,0.86,13.77,-12.91
Lạng Sơn,2022,1.28,6.34,-5.06
Lạng Sơn,2023,0.98,15.33,-14.35
Lạng Sơn,2024,6.42,8.5,-2.08
Nam Định,2019,1.6,9.3,-7.6
Nam Định,2020,1.96,6.06,-4.1
Nam Định,2021,1.04,9.36,-8.33
Nam Định,2022,2.11,4.65,-2.53
Nam Định,2023,2.43,6.35,-3.92
Nam Định,2024,1.97,7.38,-5.42
Nghệ An,2019,1,7,-6.1
Nghệ An,2020,0.86,10.05,-9.19
Nghệ An,2021,1.38,7.57,-6.19
Nghệ An,2022,1.18,5.15,-3.97
Nghệ An,2023,0.78,4.11,-3.32
Nghệ An,2024,3.81,4.51,-0.7
Ninh Bình,2019,2.6,6.5,-3.9
Ninh Bình,2020,1.8,2.28,-0.48
Ninh Bình,2021,2.39,4.69,-2.3
Ninh Bình,2022,4.21,2.07,2.13
Ninh Bình,2023,3.2,3.89,-0.69
Ninh Bình,2024,4.63,6.15,-1.53
Ninh Thuận,2019,1.3,7.7,-6.4
Ninh Thuận,2020,1.28,5.33,-4.05
Ninh Thuận,2021,2.04,3.77,-1.73
Ninh Thuận,2022,1.17,3.42,-2.25
Ninh Thuận,2023,1.74,2.6,-0.86
Ninh Thuận,2024,4.64,6.26,-1.62
Phú Thọ,2019,1.3,5.7,-4.4
Phú Thọ,2020,1.25,3.28,-2.03
Phú Thọ,2021,1.68,2.41,-0.73
Phú Thọ,2022,0.87,2.93,-2.06
Phú Thọ,2023,0.74,3.84,-3.1
Phú Thọ,2024,2.25,3.5,-1.25
Phú Yên,2019,1.1,7.4,-6.3
Phú Yên,2020,1.03,12.01,-10.98
Phú Yên,2021,2.34,5.24,-2.91
Phú Yên,2022,1.54,12.04,-10.5
Phú Yên,2023,1.21,3.73,-2.52
Phú Yên,2024,2.46,6.72,-4.26
Quảng Bình,2019,1.9,7.3,-5.5
Quảng Bình,2020,1.02,6.63,-5.6
Quảng Bình,2021,2.66,5.4,-2.74
Quảng Bình,2022,3.61,3.53,0.08
Quảng Bình,2023,3.03,5.19,-2.16
Quảng Bình,2024,5.4,5.2,0.21
Quảng Nam,2019,1.6,7.7,-6
Quảng Nam,2020,1.41,7.07,-5.66
Quảng Nam,2021,3.46,8.14,-4.67
Quảng Nam,2022,4.47,3.14,1.34
Quảng Nam,2023,1.92,7.74,-5.82
Quảng Nam,2024,3.68,7.56,-3.87
Quảng Ngãi,2019,1.3,9.6,-8.3
Quảng Ngãi,2020,2.33,6.8,-4.47
Quảng Ngãi,2021,2.49,5.47,-2.99
Quảng Ngãi,2022,2.68,5.4,-2.72
Quảng Ngãi,2023,2.92,6.44,-3.51
Quảng Ngãi,2024,2.77,7.55,-4.77
Quảng Ninh,2019,2.4,3.8,-1.4
Quảng Ninh,2020,0.95,3.76,-2.81
Quảng Ninh,2021,0.37,3.44,-3.07
Quảng Ninh,2022,1.05,5.14,-4.09
Quảng Ninh,2023,0.53,0.98,-0.44
Quảng Ninh,2024,1.62,3.54,-1.92
Quảng Trị,2019,2.3,9.5,-7.3
Quảng Trị,2020,4.39,10.59,-6.2
Quảng Trị,2021,3.48,6.65,-3.17
Quảng Trị,2022,4.65,7.65,-3
Quảng Trị,2023,2.09,6.31,-4.22
Quảng Trị,2024,5.38,4.66,0.72
Sóc Trăng,2019,1.2,16.2,-15
Sóc Trăng,2020,1.02,20.32,-19.3
Sóc Trăng,2021,0.93,21.8,-20.9
Sóc Trăng,2022,0.72,15.27,-14.54
Sóc Trăng,2023,2.52,13.31,-10.79
Sóc Trăng,2024,2.23,16.73,-14.5
Sơn La,2019,0.7,3.9,-3.2
Sơn La,2020,0.24,7.09,-6.85
Sơn La,2021,0.27,5.08,-4.81
Sơn La,2022,0.55,4.67,-4.12
Sơn La,2023,0.25,4.28,-4.03
Sơn La,2024,1.49,7.32,-5.82
TP.Hồ Chí Minh,2019,18.3,3.1,15.2
TP.Hồ Chí Minh,2020,21.91,3.94,17.97
TP.Hồ Chí Minh,2021,25.4,3.59,21.8
TP.Hồ Chí Minh,2022,10.89,3.67,7.23
TP.Hồ Chí Minh,2023,10.63,3.8,6.83
TP.Hồ Chí Minh,2024,15.09,6,9.09
Thanh Hóa,2019,1.1,8.5,-7.5
Thanh Hóa,2020,1.25,10.14,-8.89
Thanh Hóa,2021,0.69,7.85,-7.16
Thanh Hóa,2022,2.08,6.76,-4.68
Thanh Hóa,2023,1.04,5.62,-4.58
Thanh Hóa,2024,3.27,6.78,-3.51
Thái Bình,2019,1.7,7.1,-5.4
Thái Bình,2020,0.66,5.05,-4.39
Thái Bình,2021,0.71,6.22,-5.51
Thái Bình,2022,0.96,3.29,-2.33
Thái Bình,2023,0.52,4.58,-4.07
Thái Bình,2024,3.53,6.42,-2.89
Thái Nguyên,2019,6.9,4.9,2
Thái Nguyên,2020,1.01,5.59,-4.58
Thái Nguyên,2021,1.74,4.47,-2.73
Thái Nguyên,2022,0.78,3.21,-2.43
Thái Nguyên,2023,1.3,3.49,-2.19
Thái Nguyên,2024,3.75,4.01,-0.26
Tiền Giang,2019,2.7,7.7,-5
Tiền Giang,2020,4.12,7.55,-3.42
Tiền Giang,2021,3.71,8.73,-5.02
Tiền Giang,2022,3.54,3.61,-0.07
Tiền Giang,2023,2.48,4.74,-2.27
Tiền Giang,2024,3.63,9.33,-5.71
Trà Vinh,2019,1.7,10.6,-8.9
Trà Vinh,2020,0.78,22.27,-21.49
Trà Vinh,2021,1.64,12.85,-11.21
Trà Vinh,2022,1.08,10.23,-9.15
Trà Vinh,2023,1.4,11.51,-10.11
Trà Vinh,2024,2.86,12.81,-9.95
Tuyên Quang,2019,1.6,9.3,-7.6
Tuyên Quang,2020,1.44,12.08,-10.64
Tuyên Quang,2021,3.29,12.2,-8.92
Tuyên Quang,2022,0.7,7.65,-6.95
Tuyên Quang,2023,0.31,8.28,-7.97
Tuyên Quang,2024,3.75,7.49,-3.74
Tây Ninh,2019,2.9,4.5,-1.5
Tây Ninh,2020,5.98,6.53,-0.55
Tây Ninh,2021,7.35,3.63,3.73
Tây Ninh,2022,5.67,1.72,3.95
Tây Ninh,2023,4.05,2.46,1.59
Tây Ninh,2024,2.68,3.23,-0.55
Vĩnh Long,2019,3.3,10.9,-7.7
Vĩnh Long,2020,4.66,11.99,-7.33
Vĩnh Long,2021,3.1,10.28,-7.18
Vĩnh Long,2022,4.84,6.29,-1.46
Vĩnh Long,2023,3.34,7.82,-4.49
Vĩnh Long,2024,5.06,6.87,-1.8
Vĩnh Phúc,2019,2.5,4.8,-2.3
Vĩnh Phúc,2020,2.16,2.8,-0.64
Vĩnh Phúc,2021,2.31,2.14,0.17
Vĩnh Phúc,2022,1.45,1.88,-0.43
Vĩnh Phúc,2023,2.53,3.51,-0.98
Vĩnh Phúc,2024,4.91,3.97,0.95
Yên Bái,2019,1.6,6.1,-4.5
Yên Bái,2020,2.17,7.33,-5.16
Yên Bái,2021,1.54,8.08,-6.54
Yên Bái,2022,1.6,8.17,-6.57
Yên Bái,2023,1.45,6.39,-4.93
Yên Bái,2024,2.1,4.52,-2.42
Điện Biên,2019,1.1,3.6,-2.5
Điện Biên,2020,0.31,4.1,-3.79
Điện Biên,2021,0.69,7.36,-6.66
Điện Biên,2022,0.27,3.65,-3.37
Điện Biên,2023,0.59,4.33,-3.74
Điện Biên,2024,2.15,5.12,-2.97
Đà Nẵng,2019,16.7,3,13.7
Đà Nẵng,2020,13.7,2.67,11.03
Đà Nẵng,2021,18.93,5.41,13.51
Đà Nẵng,2022,10.41,4.62,5.8
Đà Nẵng,2023,15.78,2.47,13.31
Đà Nẵng,2024,18.96,7.32,11.64
Đắk Lắk,2019,2,6.2,-4.2
Đắk Lắk,2020,0.86,10.5,-9.64
Đắk Lắk,2021,1.18,6.89,-5.7
Đắk Lắk,2022,1.75,7.65,-5.9
Đắk Lắk,2023,1.52,4.34,-2.83
Đắk Lắk,2024,3.86,5.31,-1.45
Đắk Nông,2019,6.5,5.6,0.9
Đắk Nông,2020,3.11,10.66,-7.55
Đắk Nông,2021,4.61,8.12,-3.51
Đắk Nông,2022,1.69,4.23,-2.54
Đắk Nông,2023,1.07,6.86,-5.79
Đắk Nông,2024,4.2,8.17,-3.96
Đồng Nai,2019,13.3,4.6,8.7
Đồng Nai,2020,12.21,3.98,8.23
Đồng Nai,2021,9.5,8.8,0.6
Đồng Nai,2022,7.75,3.15,4.6
Đồng Nai,2023,5.41,2.91,2.5
Đồng Nai,2024,6.65,5.26,1.38
Đồng Tháp,2019,1.6,12.8,-11.2
Đồng Tháp,2020,2.43,10.1,-7.67
Đồng Tháp,2021,1.79,25.48,-23.69
Đồng Tháp,2022,1.29,8.5,-7.21
Đồng Tháp,2023,3.33,7.37,-4.05
Đồng Tháp,2024,3.87,7.45,-3.58
