Khu vực,Năm,Tỷ lệ thất nghiệp
Bắc Giang,2022,0.79
Bắc Giang,2023,0.85
Bắc Giang,2024,0.65
Phú Thọ,2019,1.46
Phú Thọ,2020,1.47
Phú Thọ,2021,0.93
Phú Thọ,2022,1.12
Phú Thọ,2023,1.29
Phú Thọ,2024,1.51
Điện Biên,2019,0.47
Điện Biên,2020,0.45
Điện Biên,2021,0.51
Điện Biên,2022,0.39
Điện Biên,2023,0.31
Điện Biên,2024,0.56
Lai Châu,2019,0.54
Lai Châu,2020,0.42
Lai Châu,2021,2.28
Lai Châu,2022,1.23
Lai Châu,2023,1.21
Lai Châu,2024,1.43
Sơn La,2019,0.74
Sơn La,2020,0.67
Sơn La,2021,1.03
Sơn La,2022,2.38
Sơn La,2023,2.11
Sơn La,2024,1.89
Hòa Bình,2019,0.65
Hòa Bình,2020,0.44
Hòa Bình,2021,2.96
Hòa Bình,2022,1.21
Hòa Bình,2023,1.09
Hòa Bình,2024,1.19
Thanh Hóa,2019,1.4
Thanh Hóa,2020,1.87
Thanh Hóa,2021,1.15
Thanh Hóa,2022,1.12
Thanh Hóa,2023,1.19
Thanh Hóa,2024,1.55
Nghệ An,2019,1.3
Nghệ An,2020,1.26
Nghệ An,2021,2.11
Nghệ An,2022,1.77
Nghệ An,2023,2.03
Nghệ An,2024,2.08
Hà Tĩnh,2019,3.36
Hà Tĩnh,2020,3.18
Hà Tĩnh,2021,5.38
Hà Tĩnh,2022,5.43
Hà Tĩnh,2023,5.51
Hà Tĩnh,2024,4.4
Quảng Bình,2019,1.34
Quảng Bình,2020,3.49
Quảng Bình,2021,3.6
Quảng Bình,2022,3.35
Quảng Bình,2023,3.16
Quảng Bình,2024,3.06
Quảng Trị,2019,3.16
Quảng Trị,2020,3.93
Quảng Trị,2021,3.83
Quảng Trị,2022,2.77
Quảng Trị,2023,2.76
Quảng Trị,2024,2.22
Huế,2019,4.21
Huế,2020,4.29
Huế,2021,3.6
Huế,2022,3.55
Huế,2023,2.51
Huế,2024,2.35
Đà Nẵng,2019,3.55
Đà Nẵng,2020,9.41
Đà Nẵng,2021,8.06
Đà Nẵng,2022,2.42
Đà Nẵng,2023,1.98
Đà Nẵng,2024,1.86
Quảng Nam,2019,3.2
Quảng Nam,2020,4.09
Quảng Nam,2021,4.21
Quảng Nam,2022,4.05
Quảng Nam,2023,4.04
Quảng Nam,2024,3.89
Quảng Ngãi,2019,2.3
Quảng Ngãi,2020,3.19
Quảng Ngãi,2021,2.28
Quảng Ngãi,2022,1.82
Quảng Ngãi,2023,2.09
Quảng Ngãi,2024,2.64
Bình Định,2019,3.42
Bình Định,2020,2.85
Bình Định,2021,2.75
Bình Định,2022,2.54
Bình Định,2023,1.99
Bình Định,2024,1.96
Phú Yên,2019,2.17
Phú Yên,2020,2.76
Phú Yên,2021,3.29
Phú Yên,2022,2.95
Phú Yên,2023,2.57
Phú Yên,2024,2.46
Khánh Hòa,2019,3.49
Khánh Hòa,2020,4.7
Khánh Hòa,2021,5.72
Khánh Hòa,2022,3.37
Khánh Hòa,2023,2.44
Khánh Hòa,2024,2.5
Ninh Thuận,2019,2.93
Ninh Thuận,2020,3.32
Ninh Thuận,2021,3.43
Ninh Thuận,2022,1.99
Ninh Thuận,2023,2.4
Ninh Thuận,2024,2.72
Bình Thuận,2019,2.94
Bình Thuận,2020,2.86
Bình Thuận,2021,3.5
Bình Thuận,2022,3.5
Bình Thuận,2023,2.35
Bình Thuận,2024,2.18
Kon Tum,2019,1.16
Kon Tum,2020,1.05
Kon Tum,2021,0.51
Kon Tum,2022,0.67
Kon Tum,2023,0.65
Kon Tum,2024,0.55
Gia Lai,2019,1.08
Gia Lai,2020,1.76
Gia Lai,2021,0.7
Gia Lai,2022,0.52
Gia Lai,2023,0.5
Gia Lai,2024,0.7
Đắk Lắk,2019,2.12
Đắk Lắk,2020,2.2
Đắk Lắk,2021,1.05
Đắk Lắk,2022,0.81
Đắk Lắk,2023,0.98
Đắk Lắk,2024,1.24
Đắk Nông,2019,1.14
Đắk Nông,2020,1.79
Đắk Nông,2021,0.66
Đắk Nông,2022,0.64
Đắk Nông,2023,0.75
Đắk Nông,2024,0.55
Lâm Đồng,2019,0.84
Lâm Đồng,2020,0.98
Lâm Đồng,2021,1.49
Lâm Đồng,2022,0.65
Lâm Đồng,2023,0.53
Lâm Đồng,2024,0.74
Bình Phước,2019,2.73
Bình Phước,2020,2.93
Bình Phước,2021,3.01
Bình Phước,2022,2.05
Bình Phước,2023,2.79
Bình Phước,2024,2.46
Tây Ninh,2019,1.54
Tây Ninh,2020,1.72
Tây Ninh,2021,2.66
Tây Ninh,2022,1.69
Tây Ninh,2023,1.55
Tây Ninh,2024,1.39
Bình Dương,2019,2.67
Bình Dương,2020,3.31
Bình Dương,2021,2.2
Bình Dương,2022,1.31
Bình Dương,2023,1.42
Bình Dương,2024,1.81
Đồng Nai,2019,1.62
Đồng Nai,2020,1.86
Đồng Nai,2021,2.22
Đồng Nai,2022,1.81
Đồng Nai,2023,2.66
Đồng Nai,2024,2.35
Bà Rịa - Vũng Tàu,2019,2.08
Bà Rịa - Vũng Tàu,2020,3.56
Bà Rịa - Vũng Tàu,2021,9.18
Bà Rịa - Vũng Tàu,2022,2.81
Bà Rịa - Vũng Tàu,2023,2.89
Bà Rịa - Vũng Tàu,2024,2.48
TP.Hồ Chí Minh,2019,2.82
TP.Hồ Chí Minh,2020,3.91
TP.Hồ Chí Minh,2021,6.4
TP.Hồ Chí Minh,2022,4.19
TP.Hồ Chí Minh,2023,3.8
TP.Hồ Chí Minh,2024,3.42
Long An,2019,5.34
Long An,2020,2.15
Long An,2021,2.28
Long An,2022,1.89
Long An,2023,1.89
Long An,2024,1.99
Tiền Giang,2019,1.8
Tiền Giang,2020,3.14
Tiền Giang,2021,7.32
Tiền Giang,2022,2.03
Tiền Giang,2023,2.35
Tiền Giang,2024,2.63
Bến Tre,2019,1.88
Bến Tre,2020,2.16
Bến Tre,2021,2.09
Bến Tre,2022,2
Bến Tre,2023,1.83
Bến Tre,2024,1.97
Trà Vinh,2019,2.88
Trà Vinh,2020,2.22
Trà Vinh,2021,4.01
Trà Vinh,2022,2.66
Trà Vinh,2023,2.62
Trà Vinh,2024,2.75
Vĩnh Long,2019,2.63
Vĩnh Long,2020,2.67
Vĩnh Long,2021,3.32
Vĩnh Long,2022,2.88
Vĩnh Long,2023,2.85
Vĩnh Long,2024,3.18
Đồng Tháp,2019,1.28
Đồng Tháp,2020,2.79
Đồng Tháp,2021,5.44
Đồng Tháp,2022,4.94
Đồng Tháp,2023,4.95
Đồng Tháp,2024,4.19
An Giang,2019,3.18
An Giang,2020,2.53
An Giang,2021,4.52
An Giang,2022,3.32
An Giang,2023,3.27
An Giang,2024,3.57
Kiên Giang,2019,3.56
Kiên Giang,2020,4.35
Kiên Giang,2021,4.52
Kiên Giang,2022,2.82
Kiên Giang,2023,2.97
Kiên Giang,2024,3.17
Cần Thơ,2019,3.18
Cần Thơ,2020,3.6
Cần Thơ,2021,3.96
Cần Thơ,2022,3.72
Cần Thơ,2023,3.78
Cần Thơ,2024,3.82
Hậu Giang,2019,3.11
Hậu Giang,2020,3.05
Hậu Giang,2021,5.43
Hậu Giang,2022,1.69
Hậu Giang,2023,2.01
Hậu Giang,2024,2.03
Sóc Trăng,2019,2.91
Sóc Trăng,2020,2.1
Sóc Trăng,2021,3.13
Sóc Trăng,2022,3.37
Sóc Trăng,2023,3.39
Sóc Trăng,2024,3.58
Bạc Liêu,2019,3.74
Bạc Liêu,2020,3.48
Bạc Liêu,2021,2.35
Bạc Liêu,2022,2.12
Bạc Liêu,2023,2.05
Bạc Liêu,2024,2.34
Cà Mau,2019,2.1
Cà Mau,2020,2.27
Cà Mau,2021,2.52
Cà Mau,2022,1.47
Cà Mau,2023,1.91
Cà Mau,2024,2.25
