table_name,num_rows,num_columns,column_names
tylelaodongvieclamphichinhthuc_gioitinh.csv,12,3,"Năm, Giới tính, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_khuvuckinhte.csv,18,3,"Năm, Khu vực kinh tế, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_nganhnghe.csv,60,3,"Ngành nghề, Năm, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_nhomtuoi.csv,48,3,"Nhóm tuổi, Năm, Tỷ lệ lao động việc làm phi chính thức"
tylelaodongvieclamphichinhthuc_trinhdo.csv,30,3,"Trình độ, Năm, Tỷ lệ lao động việc làm phi chính thức"
tyletangdanso_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ tăng dân số"
tyletangtunhien_khuvuc_tysuatsinhtho_tysuatchettho.csv,378,5,"Khu vực, Năm, Tỷ suất sinh thô, Tỷ suất chết thô, Tỷ lệ tăng tự nhiên"
tyletangtunhien_loaikhuvuc_tysuatsinhtho_tysuatchettho.csv,12,5,"Loại khu vực, Năm, Tỷ suất sinh thô, Tỷ suất chết thô, Tỷ lệ tăng tự nhiên"
tylethatnghiep_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ thất nghiệp"
tylethatnghiep_loaikhuvuc_vung.csv,72,4,"Loại khu vực, Vùng, Năm, Tỷ lệ thất nghiệp"
tylethatnghiep_nhomtuoi.csv,18,3,"Nhóm tuổi, Năm, Tỷ lệ thất nghiệp"
tylethieuvieclam_gioitinh_vung.csv,72,4,"Giới tính, Vùng, Năm, Tỷ lệ thiếu việc làm"
tylethieuvieclam_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ lệ thiếu việc làm"
tylethieuvieclam_khuvuckinhte.csv,18,3,"Năm, Khu vực kinh tế, Tỷ lệ thiếu việc làm"
tylethieuvieclam_loaihinhkinhte.csv,18,3,"Năm, Loại hình kinh tế, Tỷ lệ thiếu việc làm"
tylethieuvieclam_loaikhuvuc_vung.csv,72,4,"Loại khu vực, Vùng, Năm, Tỷ lệ thiếu việc làm"
tylethieuvieclam_nhomtuoi.csv,18,3,"Nhóm tuổi, Năm, Tỷ lệ thiếu việc làm"
tylethieuvieclam_trinhdo.csv,30,3,"Trình độ, Năm, Tỷ lệ thiếu việc làm"
tysogioitinh_khuvuc.csv,378,3,"Khu vực, Năm, Tỷ số giới tính"
tysogioitinh_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Tỷ số giới tính"
tysogioitinh_vung.csv,36,3,"Vùng, Năm, Tỷ số giới tính"
tysuatdicuthuan_khuvuc_tysuatnhapcu_tysuatxuatcu.csv,378,5,"Khu vực, Năm, Tỷ suất nhập cư, Tỷ suất xuất cư, Tỷ suất di cư thuần"
tongtysuatsinh_khuvuc.csv,378,3,"Khu vực, Năm, Tổng tỷ suất sinh"
tongtysuatsinh_loaikhuvuc.csv,12,3,"Năm, Loại khu vực, Tổng tỷ suất sinh"
khuvuc_vung.csv,378,3,"Khu vực, Năm, Vùng"
tylelaodongdaquadaotao_loaikhuvuc.csv,12,3,"Tỷ lệ lao động đã qua đào tạo, Loại khu vực, Năm"
