Khu vực,Năm,Vùng
Ninh Thuận,2020,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2020,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2020,Tây Nguyên
Gia Lai,2020,Tây Nguyên
Đắk Lắk,2020,Tây Nguyên
Đắk Nông,2020,Tây Nguyên
Lâm Đồng,2020,Tây Nguyên
Bình Phước,2020,Đông Nam Bộ
Tây Ninh,2020,Đông Nam Bộ
Bình Dương,2020,Đông Nam Bộ
Đồng Nai,2020,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2020,Đông Nam Bộ
TP.Hồ Chí Minh,2020,Đông Nam Bộ
Long An,2020,Đồng bằng sông Cửu Long
Tiền Giang,2020,Đồng bằng sông Cửu Long
Bến Tre,2020,Đồng bằng sông Cửu Long
Trà Vinh,2020,Đồng bằng sông Cửu Long
Vĩnh Long,2020,Đồng bằng sông Cửu Long
Đồng Tháp,2020,Đồng bằng sông Cửu Long
An Giang,2020,Đồng bằng sông Cửu Long
Kiên Giang,2020,Đồng bằng sông Cửu Long
Cần Thơ,2020,Đồng bằng sông Cửu Long
Hậu Giang,2020,Đồng bằng sông Cửu Long
Sóc Trăng,2020,Đồng bằng sông Cửu Long
Bạc Liêu,2020,Đồng bằng sông Cửu Long
Cà Mau,2020,Đồng bằng sông Cửu Long
Hà Nội,2021,Đồng bằng sông Hồng
Vĩnh Phúc,2021,Đồng bằng sông Hồng
Bắc Ninh,2021,Đồng bằng sông Hồng
Quảng Ninh,2021,Đồng bằng sông Hồng
Hải Dương,2021,Đồng bằng sông Hồng
Hải Phòng,2021,Đồng bằng sông Hồng
Hưng Yên,2021,Đồng bằng sông Hồng
Thái Bình,2021,Đồng bằng sông Hồng
Hà Nam,2021,Đồng bằng sông Hồng
Nam Định,2021,Đồng bằng sông Hồng
Ninh Bình,2021,Đồng bằng sông Hồng
Hà Giang,2021,Trung du và miền núi phía Bắc
Cao Bằng,2021,Trung du và miền núi phía Bắc
Bắc Kạn,2021,Trung du và miền núi phía Bắc
Tuyên Quang,2021,Trung du và miền núi phía Bắc
Lào Cai,2021,Trung du và miền núi phía Bắc
Yên Bái,2021,Trung du và miền núi phía Bắc
Thái Nguyên,2021,Trung du và miền núi phía Bắc
Lạng Sơn,2021,Trung du và miền núi phía Bắc
Bắc Giang,2021,Trung du và miền núi phía Bắc
Phú Thọ,2021,Trung du và miền núi phía Bắc
Điện Biên,2021,Trung du và miền núi phía Bắc
Lai Châu,2021,Trung du và miền núi phía Bắc
Sơn La,2021,Trung du và miền núi phía Bắc
Hòa Bình,2021,Trung du và miền núi phía Bắc
Thanh Hóa,2021,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2021,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2021,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2021,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2021,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2021,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2021,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2021,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2021,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2021,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2021,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2021,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,2021,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2021,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2021,Tây Nguyên
Gia Lai,2021,Tây Nguyên
Đắk Lắk,2021,Tây Nguyên
Đắk Nông,2021,Tây Nguyên
Lâm Đồng,2021,Tây Nguyên
Bình Phước,2021,Đông Nam Bộ
Tây Ninh,2021,Đông Nam Bộ
Bình Dương,2021,Đông Nam Bộ
Đồng Nai,2021,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2021,Đông Nam Bộ
TP.Hồ Chí Minh,2021,Đông Nam Bộ
Long An,2021,Đồng bằng sông Cửu Long
Tiền Giang,2021,Đồng bằng sông Cửu Long
Bến Tre,2021,Đồng bằng sông Cửu Long
Trà Vinh,2021,Đồng bằng sông Cửu Long
Vĩnh Long,2021,Đồng bằng sông Cửu Long
Đồng Tháp,2021,Đồng bằng sông Cửu Long
An Giang,2021,Đồng bằng sông Cửu Long
Kiên Giang,2021,Đồng bằng sông Cửu Long
Cần Thơ,2021,Đồng bằng sông Cửu Long
Hậu Giang,2021,Đồng bằng sông Cửu Long
Sóc Trăng,2021,Đồng bằng sông Cửu Long
Bạc Liêu,2021,Đồng bằng sông Cửu Long
Cà Mau,2021,Đồng bằng sông Cửu Long
Hà Nội,2022,Đồng bằng sông Hồng
Vĩnh Phúc,2022,Đồng bằng sông Hồng
Bắc Ninh,2022,Đồng bằng sông Hồng
Quảng Ninh,2022,Đồng bằng sông Hồng
Hải Dương,2022,Đồng bằng sông Hồng
Hải Phòng,2022,Đồng bằng sông Hồng
Hưng Yên,2022,Đồng bằng sông Hồng
Thái Bình,2022,Đồng bằng sông Hồng
Hà Nam,2022,Đồng bằng sông Hồng
Nam Định,2022,Đồng bằng sông Hồng
Ninh Bình,2022,Đồng bằng sông Hồng
Hà Giang,2022,Trung du và miền núi phía Bắc
Cao Bằng,2022,Trung du và miền núi phía Bắc
Bắc Kạn,2022,Trung du và miền núi phía Bắc
Tuyên Quang,2022,Trung du và miền núi phía Bắc
Lào Cai,2022,Trung du và miền núi phía Bắc
Yên Bái,2022,Trung du và miền núi phía Bắc
Thái Nguyên,2022,Trung du và miền núi phía Bắc
Lạng Sơn,2022,Trung du và miền núi phía Bắc
Bắc Giang,2022,Trung du và miền núi phía Bắc
Phú Thọ,2022,Trung du và miền núi phía Bắc
Điện Biên,2022,Trung du và miền núi phía Bắc
Lai Châu,2022,Trung du và miền núi phía Bắc
Sơn La,2022,Trung du và miền núi phía Bắc
Hòa Bình,2022,Trung du và miền núi phía Bắc
Thanh Hóa,2022,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2022,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2022,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2022,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2022,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2022,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2022,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2022,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2022,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2022,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2022,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2022,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,2022,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2022,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2022,Tây Nguyên
Gia Lai,2022,Tây Nguyên
Đắk Lắk,2022,Tây Nguyên
Đắk Nông,2022,Tây Nguyên
Lâm Đồng,2022,Tây Nguyên
Bình Phước,2022,Đông Nam Bộ
Tây Ninh,2022,Đông Nam Bộ
Bình Dương,2022,Đông Nam Bộ
Đồng Nai,2022,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2022,Đông Nam Bộ
TP.Hồ Chí Minh,2022,Đông Nam Bộ
Long An,2022,Đồng bằng sông Cửu Long
Tiền Giang,2022,Đồng bằng sông Cửu Long
Bến Tre,2022,Đồng bằng sông Cửu Long
Trà Vinh,2022,Đồng bằng sông Cửu Long
Vĩnh Long,2022,Đồng bằng sông Cửu Long
Đồng Tháp,2022,Đồng bằng sông Cửu Long
An Giang,2022,Đồng bằng sông Cửu Long
Kiên Giang,2022,Đồng bằng sông Cửu Long
Cần Thơ,2022,Đồng bằng sông Cửu Long
Hậu Giang,2022,Đồng bằng sông Cửu Long
Sóc Trăng,2022,Đồng bằng sông Cửu Long
Bạc Liêu,2022,Đồng bằng sông Cửu Long
Cà Mau,2022,Đồng bằng sông Cửu Long
Hà Nội,2023,Đồng bằng sông Hồng
Vĩnh Phúc,2023,Đồng bằng sông Hồng
Bắc Ninh,2023,Đồng bằng sông Hồng
Quảng Ninh,2023,Đồng bằng sông Hồng
Hải Dương,2023,Đồng bằng sông Hồng
Hải Phòng,2023,Đồng bằng sông Hồng
Hưng Yên,2023,Đồng bằng sông Hồng
Thái Bình,2023,Đồng bằng sông Hồng
Hà Nam,2023,Đồng bằng sông Hồng
Nam Định,2023,Đồng bằng sông Hồng
Ninh Bình,2023,Đồng bằng sông Hồng
Hà Giang,2023,Trung du và miền núi phía Bắc
Cao Bằng,2023,Trung du và miền núi phía Bắc
Bắc Kạn,2023,Trung du và miền núi phía Bắc
Tuyên Quang,2023,Trung du và miền núi phía Bắc
Lào Cai,2023,Trung du và miền núi phía Bắc
Yên Bái,2023,Trung du và miền núi phía Bắc
Thái Nguyên,2023,Trung du và miền núi phía Bắc
Lạng Sơn,2023,Trung du và miền núi phía Bắc
Bắc Giang,2023,Trung du và miền núi phía Bắc
Phú Thọ,2023,Trung du và miền núi phía Bắc
Điện Biên,2023,Trung du và miền núi phía Bắc
Lai Châu,2023,Trung du và miền núi phía Bắc
Sơn La,2023,Trung du và miền núi phía Bắc
Hòa Bình,2023,Trung du và miền núi phía Bắc
Thanh Hóa,2023,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2023,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2023,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2023,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2023,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2023,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2023,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2023,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2023,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2023,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2023,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2023,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,2023,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2023,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2023,Tây Nguyên
Gia Lai,2023,Tây Nguyên
Đắk Lắk,2023,Tây Nguyên
Đắk Nông,2023,Tây Nguyên
Lâm Đồng,2023,Tây Nguyên
Bình Phước,2023,Đông Nam Bộ
Tây Ninh,2023,Đông Nam Bộ
Bình Dương,2023,Đông Nam Bộ
Đồng Nai,2023,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2023,Đông Nam Bộ
TP.Hồ Chí Minh,2023,Đông Nam Bộ
Long An,2023,Đồng bằng sông Cửu Long
Tiền Giang,2023,Đồng bằng sông Cửu Long
Bến Tre,2023,Đồng bằng sông Cửu Long
Trà Vinh,2023,Đồng bằng sông Cửu Long
Vĩnh Long,2023,Đồng bằng sông Cửu Long
Đồng Tháp,2023,Đồng bằng sông Cửu Long
An Giang,2023,Đồng bằng sông Cửu Long
Kiên Giang,2023,Đồng bằng sông Cửu Long
Cần Thơ,2023,Đồng bằng sông Cửu Long
Hậu Giang,2023,Đồng bằng sông Cửu Long
Sóc Trăng,2023,Đồng bằng sông Cửu Long
Bạc Liêu,2023,Đồng bằng sông Cửu Long
Cà Mau,2023,Đồng bằng sông Cửu Long
Hà Nội,2024,Đồng bằng sông Hồng
Vĩnh Phúc,2024,Đồng bằng sông Hồng
Bắc Ninh,2024,Đồng bằng sông Hồng
Quảng Ninh,2024,Đồng bằng sông Hồng
Hải Dương,2024,Đồng bằng sông Hồng
Hải Phòng,2024,Đồng bằng sông Hồng
Hưng Yên,2024,Đồng bằng sông Hồng
Thái Bình,2024,Đồng bằng sông Hồng
Hà Nam,2024,Đồng bằng sông Hồng
Nam Định,2024,Đồng bằng sông Hồng
Ninh Bình,2024,Đồng bằng sông Hồng
Hà Giang,2024,Trung du và miền núi phía Bắc
Cao Bằng,2024,Trung du và miền núi phía Bắc
Bắc Kạn,2024,Trung du và miền núi phía Bắc
Tuyên Quang,2024,Trung du và miền núi phía Bắc
Lào Cai,2024,Trung du và miền núi phía Bắc
Yên Bái,2024,Trung du và miền núi phía Bắc
Thái Nguyên,2024,Trung du và miền núi phía Bắc
Lạng Sơn,2024,Trung du và miền núi phía Bắc
Bắc Giang,2024,Trung du và miền núi phía Bắc
Phú Thọ,2024,Trung du và miền núi phía Bắc
Điện Biên,2024,Trung du và miền núi phía Bắc
Lai Châu,2024,Trung du và miền núi phía Bắc
Sơn La,2024,Trung du và miền núi phía Bắc
Hòa Bình,2024,Trung du và miền núi phía Bắc
Thanh Hóa,2024,Bắc Trung Bộ và Duyên hải miền Trung
Nghệ An,2024,Bắc Trung Bộ và Duyên hải miền Trung
Hà Tĩnh,2024,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Bình,2024,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Trị,2024,Bắc Trung Bộ và Duyên hải miền Trung
Huế,2024,Bắc Trung Bộ và Duyên hải miền Trung
Đà Nẵng,2024,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Nam,2024,Bắc Trung Bộ và Duyên hải miền Trung
Quảng Ngãi,2024,Bắc Trung Bộ và Duyên hải miền Trung
Bình Định,2024,Bắc Trung Bộ và Duyên hải miền Trung
Phú Yên,2024,Bắc Trung Bộ và Duyên hải miền Trung
Khánh Hòa,2024,Bắc Trung Bộ và Duyên hải miền Trung
Ninh Thuận,2024,Bắc Trung Bộ và Duyên hải miền Trung
Bình Thuận,2024,Bắc Trung Bộ và Duyên hải miền Trung
Kon Tum,2024,Tây Nguyên
Gia Lai,2024,Tây Nguyên
Đắk Lắk,2024,Tây Nguyên
Đắk Nông,2024,Tây Nguyên
Lâm Đồng,2024,Tây Nguyên
Bình Phước,2024,Đông Nam Bộ
Tây Ninh,2024,Đông Nam Bộ
Bình Dương,2024,Đông Nam Bộ
Đồng Nai,2024,Đông Nam Bộ
Bà Rịa - Vũng Tàu,2024,Đông Nam Bộ
TP.Hồ Chí Minh,2024,Đông Nam Bộ
Long An,2024,Đồng bằng sông Cửu Long
Tiền Giang,2024,Đồng bằng sông Cửu Long
Bến Tre,2024,Đồng bằng sông Cửu Long
Trà Vinh,2024,Đồng bằng sông Cửu Long
Vĩnh Long,2024,Đồng bằng sông Cửu Long
Đồng Tháp,2024,Đồng bằng sông Cửu Long
An Giang,2024,Đồng bằng sông Cửu Long
Kiên Giang,2024,Đồng bằng sông Cửu Long
Cần Thơ,2024,Đồng bằng sông Cửu Long
Hậu Giang,2024,Đồng bằng sông Cửu Long
Sóc Trăng,2024,Đồng bằng sông Cửu Long
Bạc Liêu,2024,Đồng bằng sông Cửu Long
Cà Mau,2024,Đồng bằng sông Cửu Long
