Khu vực,Năm,Tỷ lệ tham gia BHTN
Quảng Nam,2020,17.8
Quảng Nam,2021,20.8
Quảng Nam,2022,21.5
Quảng Nam,2023,22.1
Quảng Ngãi,2019,12.6
Quảng Ngãi,2020,13.6
Quảng Ngãi,2021,16.7
Quảng Ngãi,2022,16.9
Quảng Ngãi,2023,17.9
Bình Ðịnh,2019,11.3
Bình Ðịnh,2020,12
Bình Ðịnh,2021,13.2
Bình Ðịnh,2022,14.5
Bình Ðịnh,2023,14.9
Phú Yên,2019,9.4
Phú Yên,2020,9.5
Phú Yên,2021,10.7
Phú Yên,2022,11.1
Phú Yên,2023,11.5
Khánh Hòa,2019,21.2
Khánh Hòa,2020,18.3
Khánh Hòa,2021,18.5
Khánh Hòa,2022,19.9
Khánh Hòa,2023,21
Ninh Thuận,2019,9.4
Ninh Thuận,2020,9.7
Ninh Thuận,2021,10.2
Ninh Thuận,2022,11.4
Ninh Thuận,2023,12
Bình Thuận,2019,12.1
Bình Thuận,2020,11.7
Bình Thuận,2021,11.5
Bình Thuận,2022,12.7
Bình Thuận,2023,13.2
Kon Tum,2019,10.3
Kon Tum,2020,10.5
Kon Tum,2021,10.7
Kon Tum,2022,10.5
Kon Tum,2023,10.6
Gia Lai,2019,7.4
Gia Lai,2020,7.3
Gia Lai,2021,7.1
Gia Lai,2022,7.4
Gia Lai,2023,7.6
Ðắk Lắk,2019,8
Ðắk Lắk,2020,8.1
Ðắk Lắk,2021,8.1
Ðắk Lắk,2022,8.4
Ðắk Lắk,2023,8.9
Ðắk Nông,2019,7
Ðắk Nông,2020,7.2
Ðắk Nông,2021,6.9
Ðắk Nông,2022,7.1
Ðắk Nông,2023,7.5
Lâm Ðồng,2019,10.2
Lâm Ðồng,2020,9.9
Lâm Ðồng,2021,9.6
Lâm Ðồng,2022,10.5
Lâm Ðồng,2023,11.3
Bình Phước,2019,20.3
Bình Phước,2020,20.8
Bình Phước,2021,20.3
Bình Phước,2022,22.3
Bình Phước,2023,23.7
Tây Ninh,2019,28.5
Tây Ninh,2020,29.4
Tây Ninh,2021,29.2
Tây Ninh,2022,30.2
Tây Ninh,2023,31.1
Bình Dương,2019,62.2
Bình Dương,2020,61.8
Bình Dương,2021,55
Bình Dương,2022,57.2
Bình Dương,2023,55.7
Ðồng Nai,2019,46
Ðồng Nai,2020,45.3
Ðồng Nai,2021,43.6
Ðồng Nai,2022,44.5
Ðồng Nai,2023,43.9
Bà Rịa - Vũng Tàu,2019,31.3
Bà Rịa - Vũng Tàu,2020,32.8
Bà Rịa - Vũng Tàu,2021,30.8
Bà Rịa - Vũng Tàu,2022,33.2
Bà Rịa - Vũng Tàu,2023,34.5
TP.Hồ Chí Minh,2019,50.3
TP.Hồ Chí Minh,2020,48.9
TP.Hồ Chí Minh,2021,48.5
TP.Hồ Chí Minh,2022,54.4
TP.Hồ Chí Minh,2023,54.2
Long An,2019,31
Long An,2020,31.4
Long An,2021,30.8
Long An,2022,33.3
Long An,2023,33.8
Tiền Giang,2019,17
Tiền Giang,2020,16.1
Tiền Giang,2021,15.9
Tiền Giang,2022,18.2
Tiền Giang,2023,17.9
Bến Tre,2019,10.9
Bến Tre,2020,10.6
Bến Tre,2021,11.2
Bến Tre,2022,11.6
Bến Tre,2023,12
Trà Vinh,2019,11.5
Trà Vinh,2020,8.9
Trà Vinh,2021,10.8
Trà Vinh,2022,11.1
Trà Vinh,2023,11.8
Vĩnh Long,2019,14.1
Vĩnh Long,2020,14.7
Vĩnh Long,2021,15.1
Vĩnh Long,2022,17.1
Vĩnh Long,2023,17
Ðồng Tháp,2019,9.3
Ðồng Tháp,2020,9.6
Ðồng Tháp,2021,9.5
Ðồng Tháp,2022,10.4
Ðồng Tháp,2023,10.6
An Giang,2019,10.1
An Giang,2020,9.8
An Giang,2021,10.9
An Giang,2022,11.3
An Giang,2023,11.6
Kiên Giang,2019,9.4
Kiên Giang,2020,9.1
Kiên Giang,2021,9
Kiên Giang,2022,10
Kiên Giang,2023,10.3
Cần Thơ,2019,16.9
Cần Thơ,2020,17
Cần Thơ,2021,19.9
Cần Thơ,2022,21.7
Cần Thơ,2023,22.5
Hậu Giang,2019,12.6
Hậu Giang,2020,13.3
Hậu Giang,2021,12.7
Hậu Giang,2022,14.3
Hậu Giang,2023,14.4
Sóc Trăng,2019,8.5
Sóc Trăng,2020,9
Sóc Trăng,2021,9.5
Sóc Trăng,2022,10
Sóc Trăng,2023,10.3
Bạc Liêu,2019,6.3
Bạc Liêu,2020,6.5
Bạc Liêu,2021,6.7
Bạc Liêu,2022,7
Bạc Liêu,2023,7.1
Cà Mau,2019,7.7
Cà Mau,2020,7.8
Cà Mau,2021,8.5
Cà Mau,2022,9
Cà Mau,2023,9
