Khu vực,Năm,Tỷ lệ tham gia BHXH
Quảng Trị,2022,21.7
Quảng Trị,2023,23.6
Huế,2019,21
Huế,2020,23
Huế,2021,25.3
Huế,2022,24.8
Huế,2023,26.2
Ðà Nẵng,2019,42.2
Ðà Nẵng,2020,39.3
Ðà Nẵng,2021,41
Ðà Nẵng,2022,41.5
Ðà Nẵng,2023,43.2
Quảng Nam,2019,21.3
Quảng Nam,2020,21.3
Quảng Nam,2021,25.3
Quảng Nam,2022,25.7
Quảng Nam,2023,27.1
Quảng Ngãi,2019,15.1
Quảng Ngãi,2020,16.8
Quảng Ngãi,2021,20.7
Quảng Ngãi,2022,20.7
Quảng Ngãi,2023,22.4
Bình Ðịnh,2019,13.4
Bình Ðịnh,2020,15.2
Bình Ðịnh,2021,17
Bình Ðịnh,2022,17.7
Bình Ðịnh,2023,18.8
Phú Yên,2019,12.2
Phú Yên,2020,13.8
Phú Yên,2021,16.2
Phú Yên,2022,15.9
Phú Yên,2023,17.4
Khánh Hòa,2019,24.1
Khánh Hòa,2020,21.8
Khánh Hòa,2021,22.6
Khánh Hòa,2022,23.5
Khánh Hòa,2023,25.4
Ninh Thuận,2019,11.5
Ninh Thuận,2020,13.4
Ninh Thuận,2021,14.9
Ninh Thuận,2022,14.7
Ninh Thuận,2023,16.5
Bình Thuận,2019,14
Bình Thuận,2020,14.6
Bình Thuận,2021,14.9
Bình Thuận,2022,15.5
Bình Thuận,2023,16.6
Kon Tum,2019,13.2
Kon Tum,2020,14.7
Kon Tum,2021,16.7
Kon Tum,2022,16.6
Kon Tum,2023,17.9
Gia Lai,2019,9.4
Gia Lai,2020,10.1
Gia Lai,2021,10.2
Gia Lai,2022,10.4
Gia Lai,2023,11.1
Ðắk Lắk,2019,9.8
Ðắk Lắk,2020,10.4
Ðắk Lắk,2021,10.7
Ðắk Lắk,2022,11
Ðắk Lắk,2023,12
Ðắk Nông,2019,9.7
Ðắk Nông,2020,11.4
Ðắk Nông,2021,12.5
Ðắk Nông,2022,11.6
Ðắk Nông,2023,12.8
Lâm Ðồng,2019,12.3
Lâm Ðồng,2020,12.8
Lâm Ðồng,2021,12.8
Lâm Ðồng,2022,13.6
Lâm Ðồng,2023,15.1
Bình Phước,2019,22.5
Bình Phước,2020,23.9
Bình Phước,2021,23.7
Bình Phước,2022,25.6
Bình Phước,2023,27.9
Tây Ninh,2019,30.8
Tây Ninh,2020,32.4
Tây Ninh,2021,32
Tây Ninh,2022,32.7
Tây Ninh,2023,34.3
Bình Dương,2019,63.8
Bình Dương,2020,63.7
Bình Dương,2021,56.7
Bình Dương,2022,58.9
Bình Dương,2023,57.7
Ðồng Nai,2019,47.6
Ðồng Nai,2020,47.4
Ðồng Nai,2021,45.3
Ðồng Nai,2022,46.2
Ðồng Nai,2023,46
Bà Rịa - Vũng Tàu,2019,33.8
Bà Rịa - Vũng Tàu,2020,35.7
Bà Rịa - Vũng Tàu,2021,33.2
Bà Rịa - Vũng Tàu,2022,35.6
Bà Rịa - Vũng Tàu,2023,38
TP.Hồ Chí Minh,2019,51.8
TP.Hồ Chí Minh,2020,51.2
TP.Hồ Chí Minh,2021,50.7
TP.Hồ Chí Minh,2022,56.7
TP.Hồ Chí Minh,2023,57.1
Long An,2019,32.9
Long An,2020,34.1
Long An,2021,33.5
Long An,2022,35.9
Long An,2023,36.9
Tiền Giang,2019,18.7
Tiền Giang,2020,18.8
Tiền Giang,2021,19.4
Tiền Giang,2022,21
Tiền Giang,2023,21.3
Bến Tre,2019,12.6
Bến Tre,2020,12.9
Bến Tre,2021,13.6
Bến Tre,2022,14.2
Bến Tre,2023,15.3
Trà Vinh,2019,13.8
Trà Vinh,2020,12.8
Trà Vinh,2021,15.7
Trà Vinh,2022,16
Trà Vinh,2023,17.7
Vĩnh Long,2019,16.2
Vĩnh Long,2020,18.2
Vĩnh Long,2021,19.9
Vĩnh Long,2022,21.5
Vĩnh Long,2023,22.3
Ðồng Tháp,2019,11.2
Ðồng Tháp,2020,12.5
Ðồng Tháp,2021,12.8
Ðồng Tháp,2022,13.8
Ðồng Tháp,2023,14.6
An Giang,2019,12.4
An Giang,2020,13.3
An Giang,2021,14.3
An Giang,2022,14.4
An Giang,2023,15.2
Kiên Giang,2019,11.5
Kiên Giang,2020,12.9
Kiên Giang,2021,12.9
Kiên Giang,2022,13.2
Kiên Giang,2023,14.1
Cần Thơ,2019,19
Cần Thơ,2020,20.4
Cần Thơ,2021,24.9
Cần Thơ,2022,26.6
Cần Thơ,2023,28.3
Hậu Giang,2019,14.9
Hậu Giang,2020,17.2
Hậu Giang,2021,18.9
Hậu Giang,2022,20.1
Hậu Giang,2023,21.5
Sóc Trăng,2019,10.4
Sóc Trăng,2020,12.4
Sóc Trăng,2021,13.2
Sóc Trăng,2022,13.5
Sóc Trăng,2023,14.4
Bạc Liêu,2019,8.1
Bạc Liêu,2020,9.5
Bạc Liêu,2021,10.8
Bạc Liêu,2022,10.1
Bạc Liêu,2023,11.1
Cà Mau,2019,10.2
Cà Mau,2020,12.2
Cà Mau,2021,14.3
Cà Mau,2022,14.1
Cà Mau,2023,14.8
